image,category
0000.jpg,dog
0001.jpg,dog
0003.jpg,dog
0005.jpg,dog
0006.jpg,dog
0007.jpg,dog
0008.jpg,dog
0009.jpg,dog
0010.jpg,dog
0011.jpg,dog
0012.jpg,dog
0015.jpg,dog
0016.jpg,dog
0019.jpg,dog
0020.jpg,dog
0021.jpg,dog
0022.jpg,dog
0023.jpg,dog
0024.jpg,dog
0025.jpg,dog
0027.jpg,dog
0029.jpg,dog
0030.jpg,dog
0031.jpg,dog
0032.jpg,dog
0033.jpg,dog
0035.jpg,dog
0036.jpg,dog
0037.jpg,dog
0039.jpg,dog
0040.jpg,dog
0041.jpg,dog
0042.jpg,dog
0043.jpg,dog
0044.jpg,dog
0045.jpg,dog
0046.jpg,dog
0047.jpg,dog
0048.jpg,dog
0049.jpg,dog
0051.jpg,dog
0052.jpg,dog
0053.jpg,dog
0054.jpg,dog
0055.jpg,dog
0057.jpg,dog
0058.jpg,dog
0059.jpg,dog
0060.jpg,dog
0061.jpg,dog
0062.jpg,dog
0064.jpg,dog
0065.jpg,dog
0066.jpg,dog
0068.jpg,dog
0069.jpg,dog
0070.jpg,dog
0074.jpg,dog
0075.jpg,dog
0076.jpg,dog
0077.jpg,dog
0078.jpg,dog
0079.jpg,dog
0080.jpg,dog
0081.jpg,dog
0083.jpg,dog
0084.jpg,dog
0085.jpg,dog
0087.jpg,dog
0088.jpg,dog
0089.jpg,dog
0090.jpg,dog
0093.jpg,dog
0094.jpg,dog
0095.jpg,dog
0097.jpg,dog
0098.jpg,dog
0099.jpg,dog
0100.jpg,dog
0102.jpg,dog
0103.jpg,dog
0104.jpg,dog
0105.jpg,dog
0106.jpg,dog
0107.jpg,dog
0108.jpg,dog
0109.jpg,dog
0111.jpg,dog
0113.jpg,dog
0114.jpg,dog
0115.jpg,dog
0116.jpg,dog
0117.jpg,dog
0118.jpg,dog
0119.jpg,dog
0120.jpg,dog
0121.jpg,dog
0122.jpg,dog
0123.jpg,dog
0126.jpg,dog
0127.jpg,dog
0128.jpg,dog
0129.jpg,dog
0130.jpg,dog
0131.jpg,dog
0132.jpg,dog
0133.jpg,dog
0134.jpg,dog
0135.jpg,dog
0136.jpg,dog
0137.jpg,dog
0138.jpg,dog
0139.jpg,dog
0141.jpg,dog
0142.jpg,dog
0144.jpg,dog
0146.jpg,dog
0147.jpg,dog
0148.jpg,dog
0149.jpg,dog
