image,category
0006.jpg,automobile
0010.jpg,automobile
0011.jpg,automobile
0017.jpg,automobile
0019.jpg,automobile
0020.jpg,automobile
0022.jpg,automobile
0023.jpg,automobile
0024.jpg,automobile
0032.jpg,automobile
0041.jpg,automobile
0047.jpg,automobile
0048.jpg,automobile
0067.jpg,automobile
0075.jpg,automobile
0084.jpg,automobile
0090.jpg,automobile
0091.jpg,automobile
0093.jpg,automobile
0095.jpg,automobile
0096.jpg,automobile
0106.jpg,automobile
0110.jpg,automobile
0117.jpg,automobile
0120.jpg,automobile
0127.jpg,automobile
0129.jpg,automobile
0131.jpg,automobile
0144.jpg,automobile
0148.jpg,automobile
0004.jpg,ship
0017.jpg,ship
0018.jpg,ship
0022.jpg,ship
0023.jpg,ship
0024.jpg,ship
0025.jpg,ship
0029.jpg,ship
0037.jpg,ship
0042.jpg,ship
0047.jpg,ship
0059.jpg,ship
0062.jpg,ship
0063.jpg,ship
0066.jpg,ship
0068.jpg,ship
0075.jpg,ship
0086.jpg,ship
0089.jpg,ship
0102.jpg,ship
0107.jpg,ship
0114.jpg,ship
0117.jpg,ship
0122.jpg,ship
0127.jpg,ship
0130.jpg,ship
0139.jpg,ship
0146.jpg,ship
0148.jpg,ship
0001.jpg,horse
0002.jpg,horse
0004.jpg,horse
0006.jpg,horse
0009.jpg,horse
0010.jpg,horse
0022.jpg,horse
0023.jpg,horse
0027.jpg,horse
0030.jpg,horse
0031.jpg,horse
0042.jpg,horse
0045.jpg,horse
0048.jpg,horse
0053.jpg,horse
0054.jpg,horse
0064.jpg,horse
0077.jpg,horse
0079.jpg,horse
0084.jpg,horse
0086.jpg,horse
0091.jpg,horse
0098.jpg,horse
0105.jpg,horse
0111.jpg,horse
0113.jpg,horse
0120.jpg,horse
0132.jpg,horse
0134.jpg,horse
0136.jpg,horse
0140.jpg,horse
0145.jpg,horse
0002.jpg,bird
0003.jpg,bird
0004.jpg,bird
0007.jpg,bird
0009.jpg,bird
0013.jpg,bird
0018.jpg,bird
0028.jpg,bird
0030.jpg,bird
0031.jpg,bird
0035.jpg,bird
0041.jpg,bird
0049.jpg,bird
0068.jpg,bird
0072.jpg,bird
0076.jpg,bird
0080.jpg,bird
0086.jpg,bird
0103.jpg,bird
0117.jpg,bird
0118.jpg,bird
0119.jpg,bird
0127.jpg,bird
0128.jpg,bird
0132.jpg,bird
0137.jpg,bird
0139.jpg,bird
0144.jpg,bird
0145.jpg,bird
0146.jpg,bird
0008.jpg,dog
0009.jpg,dog
0010.jpg,dog
0011.jpg,dog
0040.jpg,dog
0043.jpg,dog
0045.jpg,dog
0046.jpg,dog
0047.jpg,dog
0049.jpg,dog
0055.jpg,dog
0057.jpg,dog
0069.jpg,dog
0070.jpg,dog
0074.jpg,dog
0075.jpg,dog
0079.jpg,dog
0080.jpg,dog
0089.jpg,dog
0098.jpg,dog
0103.jpg,dog
0104.jpg,dog
0105.jpg,dog
0107.jpg,dog
0108.jpg,dog
0118.jpg,dog
0121.jpg,dog
0123.jpg,dog
0141.jpg,dog
0143.jpg,dog
0147.jpg,dog
0004.jpg,frog
0005.jpg,frog
0007.jpg,frog
0008.jpg,frog
0016.jpg,frog
0024.jpg,frog
0028.jpg,frog
0031.jpg,frog
0034.jpg,frog
0037.jpg,frog
0061.jpg,frog
0072.jpg,frog
