image,category
0101.jpg,automobile
0089.jpg,automobile
0042.jpg,automobile
0041.jpg,automobile
0091.jpg,automobile
0096.jpg,automobile
0098.jpg,automobile
0035.jpg,automobile
0136.jpg,automobile
0058.jpg,automobile
0009.jpg,automobile
0056.jpg,automobile
0070.jpg,automobile
0109.jpg,automobile
0004.jpg,automobile
0014.jpg,automobile
0087.jpg,automobile
0123.jpg,automobile
0088.jpg,automobile
0100.jpg,automobile
0028.jpg,automobile
0114.jpg,automobile
0075.jpg,automobile
0121.jpg,automobile
0097.jpg,automobile
0148.jpg,automobile
0013.jpg,automobile
0019.jpg,automobile
0002.jpg,automobile
0071.jpg,automobile
0148.jpg,ship
0033.jpg,ship
0117.jpg,ship
0094.jpg,ship
0026.jpg,ship
0044.jpg,ship
0066.jpg,ship
0000.jpg,ship
0103.jpg,ship
0025.jpg,ship
0006.jpg,ship
0081.jpg,ship
0035.jpg,ship
0057.jpg,ship
0145.jpg,ship
0113.jpg,ship
0127.jpg,ship
0146.jpg,ship
0149.jpg,ship
0099.jpg,ship
0092.jpg,ship
0008.jpg,ship
0105.jpg,ship
0098.jpg,ship
0038.jpg,ship
0085.jpg,ship
0009.jpg,ship
0077.jpg,ship
0043.jpg,ship
0041.jpg,ship
0025.jpg,horse
0073.jpg,horse
0120.jpg,horse
0009.jpg,horse
0054.jpg,horse
0107.jpg,horse
0027.jpg,horse
0100.jpg,horse
0055.jpg,horse
0021.jpg,horse
0004.jpg,horse
0101.jpg,horse
0116.jpg,horse
0077.jpg,horse
0090.jpg,horse
0092.jpg,horse
0126.jpg,horse
0057.jpg,horse
0058.jpg,horse
0118.jpg,horse
0082.jpg,horse
0088.jpg,horse
0066.jpg,horse
0104.jpg,horse
0023.jpg,horse
0087.jpg,horse
0091.jpg,horse
0106.jpg,horse
0084.jpg,horse
0103.jpg,horse
0063.jpg,bird
0110.jpg,bird
0070.jpg,bird
0014.jpg,bird
0134.jpg,bird
0016.jpg,bird
0045.jpg,bird
0147.jpg,bird
0098.jpg,bird
0111.jpg,bird
0097.jpg,bird
0143.jpg,bird
0103.jpg,bird
0108.jpg,bird
0125.jpg,bird
0091.jpg,bird
0047.jpg,bird
0013.jpg,bird
0073.jpg,bird
0127.jpg,bird
0028.jpg,bird
0148.jpg,bird
0114.jpg,bird
0025.jpg,bird
0130.jpg,bird
0089.jpg,bird
0027.jpg,bird
0038.jpg,bird
0057.jpg,bird
0084.jpg,bird
0051.jpg,dog
0129.jpg,dog
0043.jpg,dog
0063.jpg,dog
0141.jpg,dog
0118.jpg,dog
0049.jpg,dog
0090.jpg,dog
0134.jpg,dog
0144.jpg,dog
0084.jpg,dog
0123.jpg,dog
0147.jpg,dog
0140.jpg,dog
0016.jpg,dog
0029.jpg,dog
0065.jpg,dog
0055.jpg,dog
0103.jpg,dog
0058.jpg,dog
0022.jpg,dog
0122.jpg,dog
0083.jpg,dog
0031.jpg,dog
0033.jpg,dog
0047.jpg,dog
0056.jpg,dog
0032.jpg,dog
0097.jpg,dog
0030.jpg,dog
0025.jpg,frog
0145.jpg,frog
0122.jpg,frog
0101.jpg,frog
0023.jpg,frog
0110.jpg,frog
0043.jpg,frog
0081.jpg,frog
0059.jpg,frog
0132.jpg,frog
0117.jpg,frog
0087.jpg,frog
0133.jpg,frog
0007.jpg,frog
0063.jpg,frog
0045.jpg,frog
0006.jpg,frog
0108.jpg,frog
0113.jpg,frog
0086.jpg,frog
0146.jpg,frog
0088.jpg,frog
0062.jpg,frog
0143.jpg,frog
0064.jpg,frog
0083.jpg,frog
0016.jpg,frog
0051.jpg,frog
0000.jpg,frog
0046.jpg,frog
0120.jpg,deer
0023.jpg,deer
0149.jpg,deer
0077.jpg,deer
0015.jpg,deer
0114.jpg,deer
0010.jpg,deer
0075.jpg,deer
0021.jpg,deer
0099.jpg,deer
0126.jpg,deer
0082.jpg,deer
0049.jpg,deer
0128.jpg,deer
0054.jpg,deer
0111.jpg,deer
0003.jpg,deer
0060.jpg,deer
0116.jpg,deer
0134.jpg,deer
0102.jpg,deer
0044.jpg,deer
0100.jpg,deer
0073.jpg,deer
0148.jpg,deer
0107.jpg,deer
0130.jpg,deer
0019.jpg,deer
0033.jpg,deer
0129.jpg,deer
0008.jpg,cat
0073.jpg,cat
0096.jpg,cat
0022.jpg,cat
0029.jpg,cat
0093.jpg,cat
0025.jpg,cat
0117.jpg,cat
0135.jpg,cat
0077.jpg,cat
0001.jpg,cat
0036.jpg,cat
0147.jpg,cat
0127.jpg,cat
0043.jpg,cat
0021.jpg,cat
0080.jpg,cat
0148.jpg,cat
0070.jpg,cat
0097.jpg,cat
0089.jpg,cat
0024.jpg,cat
0047.jpg,cat
0094.jpg,cat
0101.jpg,cat
0006.jpg,cat
0000.jpg,cat
0052.jpg,cat
0037.jpg,cat
0088.jpg,cat
0085.jpg,airplane
0139.jpg,airplane
0117.jpg,airplane
0000.jpg,airplane
0138.jpg,airplane
0053.jpg,airplane
0063.jpg,airplane
0046.jpg,airplane
0106.jpg,airplane
0002.jpg,airplane
.ipynb_checkpoints,airplane
0041.jpg,airplane
0059.jpg,airplane
0143.jpg,airplane
0097.jpg,airplane
0029.jpg,airplane
0093.jpg,airplane
0044.jpg,airplane
0076.jpg,airplane
0028.jpg,airplane
0055.jpg,airplane
0073.jpg,airplane
0135.jpg,airplane
0027.jpg,airplane
0047.jpg,airplane
0008.jpg,airplane
0011.jpg,airplane
0007.jpg,airplane
0145.jpg,airplane
0083.jpg,airplane
0035.jpg,truck
0048.jpg,truck
0024.jpg,truck
0023.jpg,truck
0006.jpg,truck
0001.jpg,truck
0084.jpg,truck
0080.jpg,truck
0038.jpg,truck
0059.jpg,truck
0017.jpg,truck
0086.jpg,truck
0021.jpg,truck
0088.jpg,truck
0141.jpg,truck
0122.jpg,truck
0110.jpg,truck
0057.jpg,truck
0102.jpg,truck
0002.jpg,truck
0093.jpg,truck
0140.jpg,truck
0103.jpg,truck
0005.jpg,truck
0119.jpg,truck
0145.jpg,truck
0120.jpg,truck
0112.jpg,truck
0000.jpg,truck
0054.jpg,truck
