image,category
0006.jpg,airplane
0007.jpg,airplane
0014.jpg,airplane
0021.jpg,airplane
0022.jpg,airplane
0024.jpg,airplane
0032.jpg,airplane
0036.jpg,airplane
0040.jpg,airplane
0044.jpg,airplane
0053.jpg,airplane
0054.jpg,airplane
0062.jpg,airplane
0064.jpg,airplane
0065.jpg,airplane
0073.jpg,airplane
0074.jpg,airplane
0075.jpg,airplane
0082.jpg,airplane
0098.jpg,airplane
0106.jpg,airplane
0108.jpg,airplane
0114.jpg,airplane
0115.jpg,airplane
0117.jpg,airplane
0125.jpg,airplane
0126.jpg,airplane
0128.jpg,airplane
0129.jpg,airplane
0137.jpg,airplane
0143.jpg,airplane
