image,category
0000.jpg,automobile
0001.jpg,automobile
0002.jpg,automobile
0003.jpg,automobile
0004.jpg,automobile
0006.jpg,automobile
0009.jpg,automobile
0010.jpg,automobile
0011.jpg,automobile
0012.jpg,automobile
0013.jpg,automobile
0014.jpg,automobile
0016.jpg,automobile
0017.jpg,automobile
0020.jpg,automobile
0022.jpg,automobile
0023.jpg,automobile
0024.jpg,automobile
0025.jpg,automobile
0027.jpg,automobile
0028.jpg,automobile
0031.jpg,automobile
0032.jpg,automobile
0034.jpg,automobile
0036.jpg,automobile
0041.jpg,automobile
0042.jpg,automobile
0043.jpg,automobile
0044.jpg,automobile
0045.jpg,automobile
0046.jpg,automobile
0047.jpg,automobile
0048.jpg,automobile
0049.jpg,automobile
0051.jpg,automobile
0055.jpg,automobile
0061.jpg,automobile
0062.jpg,automobile
0063.jpg,automobile
0067.jpg,automobile
0069.jpg,automobile
0070.jpg,automobile
0072.jpg,automobile
0073.jpg,automobile
0075.jpg,automobile
0077.jpg,automobile
0082.jpg,automobile
0083.jpg,automobile
0084.jpg,automobile
0090.jpg,automobile
0091.jpg,automobile
0093.jpg,automobile
0095.jpg,automobile
0096.jpg,automobile
0097.jpg,automobile
0098.jpg,automobile
0099.jpg,automobile
0100.jpg,automobile
0101.jpg,automobile
0104.jpg,automobile
0106.jpg,automobile
0108.jpg,automobile
0116.jpg,automobile
0117.jpg,automobile
0118.jpg,automobile
0120.jpg,automobile
0121.jpg,automobile
0122.jpg,automobile
0124.jpg,automobile
0126.jpg,automobile
0127.jpg,automobile
0129.jpg,automobile
0133.jpg,automobile
0144.jpg,automobile
0145.jpg,automobile
0147.jpg,automobile
