image,category
0000.jpg,bird
0001.jpg,bird
0002.jpg,bird
0003.jpg,bird
0004.jpg,bird
0007.jpg,bird
0009.jpg,bird
0010.jpg,bird
0011.jpg,bird
0012.jpg,bird
0013.jpg,bird
0015.jpg,bird
0016.jpg,bird
0017.jpg,bird
0018.jpg,bird
0019.jpg,bird
0021.jpg,bird
0022.jpg,bird
0025.jpg,bird
0026.jpg,bird
0028.jpg,bird
0030.jpg,bird
0031.jpg,bird
0033.jpg,bird
0035.jpg,bird
0043.jpg,bird
0044.jpg,bird
0048.jpg,bird
0049.jpg,bird
0052.jpg,bird
0057.jpg,bird
0058.jpg,bird
0059.jpg,bird
0061.jpg,bird
0065.jpg,bird
0068.jpg,bird
0069.jpg,bird
0072.jpg,bird
0076.jpg,bird
0078.jpg,bird
0079.jpg,bird
0080.jpg,bird
0082.jpg,bird
0084.jpg,bird
0086.jpg,bird
0087.jpg,bird
0088.jpg,bird
0094.jpg,bird
0099.jpg,bird
0100.jpg,bird
0103.jpg,bird
0107.jpg,bird
0110.jpg,bird
0111.jpg,bird
0112.jpg,bird
0115.jpg,bird
0117.jpg,bird
0118.jpg,bird
0119.jpg,bird
0120.jpg,bird
0121.jpg,bird
0122.jpg,bird
0123.jpg,bird
0127.jpg,bird
0128.jpg,bird
0131.jpg,bird
0132.jpg,bird
0134.jpg,bird
0137.jpg,bird
0139.jpg,bird
0142.jpg,bird
0143.jpg,bird
0144.jpg,bird
0145.jpg,bird
0146.jpg,bird
