image,category
0000.jpg,truck
0001.jpg,truck
0002.jpg,truck
0003.jpg,truck
0007.jpg,truck
0009.jpg,truck
0012.jpg,truck
0013.jpg,truck
0015.jpg,truck
0016.jpg,truck
0017.jpg,truck
0018.jpg,truck
0020.jpg,truck
0021.jpg,truck
0022.jpg,truck
0023.jpg,truck
0024.jpg,truck
0025.jpg,truck
0026.jpg,truck
0028.jpg,truck
0030.jpg,truck
0031.jpg,truck
0034.jpg,truck
0038.jpg,truck
0041.jpg,truck
0042.jpg,truck
0043.jpg,truck
0045.jpg,truck
0046.jpg,truck
0052.jpg,truck
0055.jpg,truck
0057.jpg,truck
0060.jpg,truck
0062.jpg,truck
0063.jpg,truck
0068.jpg,truck
0069.jpg,truck
0071.jpg,truck
0072.jpg,truck
0074.jpg,truck
0075.jpg,truck
0077.jpg,truck
0081.jpg,truck
0084.jpg,truck
0086.jpg,truck
0087.jpg,truck
0088.jpg,truck
0089.jpg,truck
0091.jpg,truck
0098.jpg,truck
0103.jpg,truck
0104.jpg,truck
0106.jpg,truck
0107.jpg,truck
0111.jpg,truck
0112.jpg,truck
0114.jpg,truck
0115.jpg,truck
0116.jpg,truck
0118.jpg,truck
0121.jpg,truck
0122.jpg,truck
0126.jpg,truck
0128.jpg,truck
0129.jpg,truck
0130.jpg,truck
0133.jpg,truck
0134.jpg,truck
0135.jpg,truck
0138.jpg,truck
0139.jpg,truck
0144.jpg,truck
0145.jpg,truck
0146.jpg,truck
0149.jpg,truck
